Feature Name,Text,Impact,Slope,pcc,x_min,x_max,Detailed,Slope/Impact,Threshold,Include Mean,ShareY
age,"At 6.00 the price is 1.33.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
age,"price ranges from -1.54 to 1.82.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
age,"As % Pre-1940 Units changes from 6.00 to 12.92 price changes with slope 0.07.
",0.4888841444030889,0.07068489321882185,0.9600744498417813,6.0,12.91638795986622,None,Slope,None,No,Local
age,"From 13.23 to 37.44 price changes with slope -0.07.
",1.6308571896400876,-0.06737030943663803,-0.9932508585449026,13.230769230769232,37.43812709030101,None,Slope,None,No,Local
age,"From 37.75 to 50.96 price changes with slope 0.07.
",0.8883738096225225,0.06728058993848385,0.9931115188685046,37.752508361204015,50.95652173913044,None,Slope,None,No,Local
age,"From 51.27 to 75.16 price changes with slope -0.08.
",1.9797609420790678,-0.0828595355097483,-0.9925361073156678,51.270903010033464,75.1638795986622,None,Slope,None,No,Local
age,"From 75.48 to 88.37 price changes with slope 0.11.
",1.3664884227201026,0.1060145403200078,0.992672502902108,75.47826086956522,88.36789297658865,None,Slope,None,No,Local
age,"From 88.68 to 100.00 price changes with slope -0.18.
",1.9961815418087454,-0.17637656057943737,-0.9959588324988226,88.68227424749166,100.0,None,Slope,None,No,Local
dis,"At 1.13 the price is 16.27.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
dis,"price ranges from -5.03 to 16.27.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
dis,"As Distance to Business District changes from 1.13 to 7.03 price changes with slope -3.42.
",20.181810599030722,-3.423073702696559,-0.9076692679977808,1.1296,7.025415384615385,None,Slope,None,No,Local
dis,"From 7.06 to 9.14 price changes with slope 1.26.
",2.622279800419131,1.2590402665700826,0.991057585299263,7.057457859531772,9.140218729096992,None,Slope,None,No,Local
dis,"From 9.17 to 10.71 price changes with slope -2.43.
",3.735790541596705,-2.4289312801113487,-0.9844995430255032,9.172261204013378,10.7103,None,Slope,None,No,Local
indus,"At 0.74 the price is -0.02.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
indus,"price ranges from -0.70 to -0.02.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
indus,"As % Business in Area changes from 0.74 to 27.74 price changes with slope -0.03.
",0.6857413610534164,-0.02539782818716357,-1.0,0.74,27.74,None,Slope,None,No,Local
lstat,"At 1.73 the price is -1.20.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
lstat,"price ranges from -25.57 to -1.20.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
lstat,"As Percent Lower Income in Area changes from 1.73 to 36.98 price changes with slope -0.69.
",24.371254476165827,-0.6913831057068319,-1.0,1.73,36.98,None,Slope,None,No,Local
nox,"At 38.50 the price is 3.36.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
nox,"price ranges from -7.25 to 5.54.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
nox,"As Air Pollution changes from 38.50 to 46.63 price changes with slope 0.27.
",2.182197853002241,0.26850911853813586,0.9572384511777712,38.5,46.62709030100334,None,Slope,None,No,Local
nox,"From 46.79 to 69.71 price changes with slope -0.34.
",7.7935320194627185,-0.3400557560370303,-0.9634096444020545,46.78963210702342,69.70802675585284,None,Slope,None,No,Local
nox,"From 69.87 to 77.35 price changes with slope 0.26.
",1.9365383579778375,0.25900204376246716,0.993904719868862,69.8705685618729,77.347491638796,None,Slope,None,No,Local
nox,"From 77.51 to 87.10 price changes with slope -0.72.
",6.9348292562457665,-0.723133831212069,-0.9835805841685424,77.51003344481606,87.1,None,Slope,None,No,Local
ptratio,"At 12.60 the price is 5.90.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
ptratio,"price ranges from -3.45 to 5.91.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
ptratio,"As Student-Teacher Ratio changes from 12.60 to 16.68 price changes with slope -1.96.
",8.008697285779052,-1.9608585722632965,-0.8661122733236382,12.6,16.684280936454847,None,Slope,None,No,Local
ptratio,"From 16.71 to 21.20 price changes with slope -0.30.
",1.3531549548287232,-0.30157523218082005,-0.2835572962993932,16.713043478260868,21.2,None,Slope,None,No,Local
rm,"At 3.56 the price is 11.06.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
rm,"price ranges from 11.06 to 26.09.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,No,Local
rm,"As # Rooms in House changes from 3.56 to 8.40 price changes with slope 3.11.
",15.024324394893819,3.1061245389484844,1.0,3.5610000000000004,8.398,None,Slope,None,No,Local
age,"At 6.00 the price is 1.33.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,Yes,Local
age,"price ranges from -1.54 to 1.82.
",0.0,0.0,0.0,-1.0,-1.0,None,Slope,None,Yes,Local
age,"As % Pre-1940 Units changes from 6.00 to 12.92 price changes with slope 0.07.
",0.4888841444030889,0.07068489321882185,0.9600744498417813,6.0,12.91638795986622,None,Slope,None,Yes,Local
age,"From 13.23 to 37.44 price changes with slope -0.07.
",1.6308571896400876,-0.06737030943663803,-0.9932508585449026,13.230769230769232,37.43812709030101,None,Slope,None,Yes,Local
age,"From 37.75 to 50.96 price changes with slope 0.07.
",0.8883738096225225,0.06728058993848385,0.9931115188685046,37.752508361204015,50.95652173913044,None,Slope,None,Yes,Local
age,"From 51.27 to 75.16 price changes with slope -0.08.
",1.9797609420790678,-0.0828595355097483,-0.9925361073156678,51.270903010033464,75.1638795986622,None,Slope,None,Yes,Local
age,"From 75.48 to 88.37 price changes with slope 0.11.
",1.3664884227201026,0.1060145403200078,0.992672502902108,75.47826086956522,88.36789297658865,None,Slope,None,Yes,Local
