Feature Name,Text,Detailed,Slope/Impact,Threshold,Include Mean,ShareY
age,"At 6.00 the price is 1.33.
price ranges from -1.54 to 1.82.
As % Pre-1940 Units changes from 6.00 to 12.92 price changes with slope 0.07.
From 13.23 to 37.44 price changes with slope -0.07.
From 37.75 to 50.96 price changes with slope 0.07.
From 51.27 to 75.16 price changes with slope -0.08.
From 75.48 to 88.37 price changes with slope 0.11.
From 88.68 to 100.00 price changes with slope -0.18.
",None,Slope,None,No,Local
dis,"At 1.13 the price is 16.27.
price ranges from -5.03 to 16.27.
As Distance to Business District changes from 1.13 to 7.03 price changes with slope -3.42.
From 7.06 to 9.14 price changes with slope 1.26.
From 9.17 to 10.71 price changes with slope -2.43.
",None,Slope,None,No,Local
indus,"At 0.74 the price is -0.02.
price ranges from -0.70 to -0.02.
As % Business in Area changes from 0.74 to 27.74 price changes with slope -0.03.
",None,Slope,None,No,Local
lstat,"At 1.73 the price is -1.20.
price ranges from -25.57 to -1.20.
As Percent Lower Income in Area changes from 1.73 to 36.98 price changes with slope -0.69.
",None,Slope,None,No,Local
nox,"At 38.50 the price is 3.36.
price ranges from -7.25 to 5.54.
As Air Pollution changes from 38.50 to 46.63 price changes with slope 0.27.
From 46.79 to 69.71 price changes with slope -0.34.
From 69.87 to 77.35 price changes with slope 0.26.
From 77.51 to 87.10 price changes with slope -0.72.
",None,Slope,None,No,Local
ptratio,"At 12.60 the price is 5.90.
price ranges from -3.45 to 5.91.
As Student-Teacher Ratio changes from 12.60 to 16.68 price changes with slope -1.96.
From 16.71 to 21.20 price changes with slope -0.30.
",None,Slope,None,No,Local
rm,"At 3.56 the price is 11.06.
price ranges from 11.06 to 26.09.
As # Rooms in House changes from 3.56 to 8.40 price changes with slope 3.11.
",None,Slope,None,No,Local
age,"At 6.00 the price is 1.33.
price ranges from -1.54 to 1.82.
As % Pre-1940 Units changes from 6.00 to 12.92 price changes with slope 0.07.
From 13.23 to 37.44 price changes with slope -0.07.
From 37.75 to 50.96 price changes with slope 0.07.
From 51.27 to 75.16 price changes with slope -0.08.
From 75.48 to 88.37 price changes with slope 0.11.
From 88.68 to 100.00 price changes with slope -0.18.
",None,Slope,None,Yes,Local
dis,"At 1.13 the price is 16.27.
price ranges from -5.03 to 16.27.
As Distance to Business District changes from 1.13 to 7.03 price changes with slope -3.42.
From 7.06 to 9.14 price changes with slope 1.26.
From 9.17 to 10.71 price changes with slope -2.43.
",None,Slope,None,Yes,Local
indus,"At 0.74 the price is -0.02.
price ranges from -0.70 to -0.02.
As % Business in Area changes from 0.74 to 27.74 price changes with slope -0.03.
",None,Slope,None,Yes,Local
lstat,"At 1.73 the price is -1.20.
price ranges from -25.57 to -1.20.
As Percent Lower Income in Area changes from 1.73 to 36.98 price changes with slope -0.69.
",None,Slope,None,Yes,Local
nox,"At 38.50 the price is 3.36.
price ranges from -7.25 to 5.54.
As Air Pollution changes from 38.50 to 46.63 price changes with slope 0.27.
From 46.79 to 69.71 price changes with slope -0.34.
From 69.87 to 77.35 price changes with slope 0.26.
From 77.51 to 87.10 price changes with slope -0.72.
",None,Slope,None,Yes,Local
ptratio,"At 12.60 the price is 5.90.
price ranges from -3.45 to 5.91.
As Student-Teacher Ratio changes from 12.60 to 16.68 price changes with slope -1.96.
From 16.71 to 21.20 price changes with slope -0.30.
",None,Slope,None,Yes,Local
rm,"At 3.56 the price is 11.06.
price ranges from 11.06 to 26.09.
As # Rooms in House changes from 3.56 to 8.40 price changes with slope 3.11.
",None,Slope,None,Yes,Local
